Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,123342,-,-,-,37.85,-122.22,-8,270,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.0
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Fill Flag,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure
2017,1,1,0,30,0,0,0,0,0,0,1,6,0,0.1,2.8000000000000003,100.0,5,980.0
2017,1,1,1,30,0,0,0,0,0,0,1,6,0,0.1,2.7,100.0,5,980.0
2017,1,1,2,30,0,0,0,0,0,0,3,6,0,0.1,3.0,100.0,5,980.0
2017,1,1,3,30,0,0,0,0,0,0,1,6,0,0.1,3.1,100.0,5,980.0
2017,1,1,4,30,0,0,0,0,0,0,1,4,0,0.1,3.0,100.0,5,980.0
2017,1,1,5,30,0,0,0,0,0,0,3,4,0,0.1,3.0,100.0,4,980.0
2017,1,1,6,30,0,0,0,0,0,0,3,4,0,0.1,2.9000000000000004,100.0,4,980.0
2017,1,1,7,30,0,0,0,0,0,0,1,5,0,0.1,2.9000000000000004,94.53,5,980.0
2017,1,1,8,30,48,538,141,48,538,141,1,5,0,0.1,3.3000000000000003,92.35000000000001,6,980.0
2017,1,1,9,30,67,747,300,67,747,300,2,5,4,0.1,3.6,86.29,7,980.0
2017,1,1,10,30,76,841,427,76,841,427,1,5,0,0.1,3.9000000000000004,82.61,8,980.0
2017,1,1,11,30,80,883,500,80,883,500,0,4,0,0.1,4.1000000000000005,72.44,9,980.0
2017,1,1,12,30,79,892,514,79,892,514,0,3,0,0.1,4.3,63.99,9,980.0
2017,1,1,13,30,80,852,462,80,852,462,0,3,0,0.1,4.4,61.96,9,980.0
2017,1,1,14,30,72,788,357,72,788,357,1,2,0,0.1,4.3,65.91,8,980.0
2017,1,1,15,30,57,651,210,57,651,210,1,3,0,0.1,3.8000000000000003,72.13,7,980.0
2017,1,1,16,30,28,300,51,28,300,51,1,3,0,0.1,3.0,86.64,5,980.0
2017,1,1,17,30,0,0,0,0,0,0,1,3,0,0.1,2.7,93.23,5,980.0
2017,1,1,18,30,0,0,0,0,0,0,1,4,0,0.1,2.5,94.23,4,980.0
2017,1,1,19,30,0,0,0,0,0,0,1,4,0,0.1,2.5,93.99,4,980.0
2017,1,1,20,30,0,0,0,0,0,0,1,3,0,0.1,2.4000000000000004,99.99000000000001,4,980.0
2017,1,1,21,30,0,0,0,0,0,0,1,3,0,0.1,2.3000000000000003,98.53,3,980.0
2017,1,1,22,30,0,0,0,0,0,0,4,3,0,0.1,2.3000000000000003,97.19,3,980.0
2017,1,1,23,30,0,0,0,0,0,0,8,3,0,0.1,2.2,95.99000000000001,3,980.0
2017,1,2,0,30,0,0,0,0,0,0,8,3,0,0.1,2.1,96.02,4,980.0
2017,1,2,1,30,0,0,0,0,0,0,8,3,0,0.1,1.9000000000000001,89.56,4,980.0
2017,1,2,2,30,0,0,0,0,0,0,4,3,0,0.1,1.8,89.22,4,980.0
2017,1,2,3,30,0,0,0,0,0,0,4,3,1,0.1,1.8,88.48,4,980.0
2017,1,2,4,30,0,0,0,0,0,0,8,3,0,0.1,1.7000000000000002,87.87,4,980.0
