Date/Time,Power Produced (W)
2019-08-25 12:15:00 -0700,1144
2019-08-25 12:20:00 -0700,1156
2019-08-25 12:25:00 -0700,1252
2019-08-25 12:30:00 -0700,1252
2019-08-25 12:35:00 -0700,1204
2019-08-25 12:40:00 -0700,1289
2019-08-25 12:45:00 -0700,1289
2019-08-25 12:50:00 -0700,1156
2019-08-25 12:55:00 -0700,1219
2019-08-25 13:00:00 -0700,1219
2019-08-25 13:05:00 -0700,1178
2019-08-25 13:10:00 -0700,1269
2019-08-25 13:15:00 -0700,1269
2019-08-25 13:20:00 -0700,1271
2019-08-25 13:25:00 -0700,1402
2019-08-25 13:30:00 -0700,1402
2019-08-25 13:35:00 -0700,1451
2019-08-25 13:40:00 -0700,1603
2019-08-25 13:45:00 -0700,1603
2019-08-25 13:50:00 -0700,1648
2019-08-25 13:55:00 -0700,1828
2019-08-25 14:00:00 -0700,1828
2019-08-25 14:05:00 -0700,1728
2019-08-25 14:10:00 -0700,1873
2019-08-25 14:15:00 -0700,1873
2019-08-25 14:20:00 -0700,1850
2019-08-25 14:25:00 -0700,2028
2019-08-25 14:30:00 -0700,2028
2019-08-25 14:35:00 -0700,1908
2019-08-25 14:40:00 -0700,2021
2019-08-25 14:45:00 -0700,2021
2019-08-25 14:50:00 -0700,1867
2019-08-25 14:55:00 -0700,1966
2019-08-25 15:00:00 -0700,1966
2019-08-25 15:05:00 -0700,1800
2019-08-25 15:10:00 -0700,1885
2019-08-25 15:15:00 -0700,1885
2019-08-25 15:20:00 -0700,1723
2019-08-25 15:25:00 -0700,1808
2019-08-25 15:30:00 -0700,1808
2019-08-25 15:35:00 -0700,1638
2019-08-25 15:40:00 -0700,1699
2019-08-25 15:45:00 -0700,1699
2019-08-25 15:50:00 -0700,1504
2019-08-25 15:55:00 -0700,1622
2019-08-25 16:00:00 -0700,1622
2019-08-25 16:05:00 -0700,1389
2019-08-25 16:10:00 -0700,1526
2019-08-25 16:15:00 -0700,1526
2019-08-25 16:20:00 -0700,1295
2019-08-25 16:25:00 -0700,1401
2019-08-25 16:30:00 -0700,1401
2019-08-25 16:35:00 -0700,1186
2019-08-25 16:40:00 -0700,1264
2019-08-25 16:45:00 -0700,1264
2019-08-25 16:50:00 -0700,1058
2019-08-25 16:55:00 -0700,1128
2019-08-25 17:00:00 -0700,1128
2019-08-25 17:05:00 -0700,926
2019-08-25 17:10:00 -0700,987
2019-08-25 17:15:00 -0700,987
2019-08-25 17:20:00 -0700,802
2019-08-25 17:25:00 -0700,837
2019-08-25 17:30:00 -0700,837
2019-08-25 17:35:00 -0700,667
2019-08-25 17:40:00 -0700,683
2019-08-25 17:45:00 -0700,683
2019-08-25 17:50:00 -0700,443
2019-08-25 17:55:00 -0700,371
2019-08-25 18:00:00 -0700,371
2019-08-25 18:05:00 -0700,234
2019-08-25 18:10:00 -0700,188
2019-08-25 18:15:00 -0700,188
2019-08-25 18:20:00 -0700,105
2019-08-25 18:25:00 -0700,71
2019-08-25 18:30:00 -0700,71
2019-08-25 18:35:00 -0700,48
2019-08-25 18:40:00 -0700,41
2019-08-25 18:45:00 -0700,41
2019-08-25 18:50:00 -0700,31
2019-08-25 18:55:00 -0700,29
2019-08-25 19:00:00 -0700,29
2019-08-25 19:05:00 -0700,22
2019-08-25 19:10:00 -0700,21
2019-08-25 19:15:00 -0700,21
2019-08-25 19:20:00 -0700,14
2019-08-25 19:25:00 -0700,12
2019-08-25 19:30:00 -0700,12
2019-08-25 19:35:00 -0700,6
2019-08-25 19:40:00 -0700,3
2019-08-25 19:45:00 -0700,3
2019-08-25 19:50:00 -0700,1
2019-08-25 19:55:00 -0700,0
2019-08-25 20:00:00 -0700,0
2019-08-25 20:05:00 -0700,0
2019-08-25 20:10:00 -0700,0
2019-08-25 20:15:00 -0700,0
2019-08-25 20:20:00 -0700,0
2019-08-25 20:25:00 -0700,0
2019-08-25 20:30:00 -0700,0
2019-08-25 20:35:00 -0700,0
2019-08-25 20:40:00 -0700,0
2019-08-25 20:45:00 -0700,0
2019-08-25 20:50:00 -0700,0
2019-08-25 20:55:00 -0700,0
2019-08-25 21:00:00 -0700,0
2019-08-25 21:05:00 -0700,0
2019-08-25 21:10:00 -0700,0
2019-08-25 21:15:00 -0700,0
2019-08-25 21:20:00 -0700,0
2019-08-25 21:25:00 -0700,0
2019-08-25 21:30:00 -0700,0
2019-08-25 21:35:00 -0700,0
2019-08-25 21:40:00 -0700,0
2019-08-25 21:45:00 -0700,0
2019-08-25 21:50:00 -0700,0
2019-08-25 21:55:00 -0700,0
2019-08-25 22:00:00 -0700,0
2019-08-25 22:05:00 -0700,0
2019-08-25 22:10:00 -0700,0
2019-08-25 22:15:00 -0700,0
2019-08-25 22:20:00 -0700,0
2019-08-25 22:25:00 -0700,0
2019-08-25 22:30:00 -0700,0
2019-08-25 22:35:00 -0700,0
2019-08-25 22:40:00 -0700,0
2019-08-25 22:45:00 -0700,0
2019-08-25 22:50:00 -0700,0
2019-08-25 22:55:00 -0700,0
2019-08-25 23:00:00 -0700,0
2019-08-25 23:05:00 -0700,0
2019-08-25 23:10:00 -0700,0
2019-08-25 23:15:00 -0700,0
2019-08-25 23:20:00 -0700,0
2019-08-25 23:25:00 -0700,0
2019-08-25 23:30:00 -0700,0
2019-08-25 23:35:00 -0700,0
2019-08-25 23:40:00 -0700,0
2019-08-25 23:45:00 -0700,0
2019-08-25 23:50:00 -0700,0
2019-08-25 23:55:00 -0700,0
2019-08-26 00:00:00 -0700,0
2019-08-26 00:05:00 -0700,0
2019-08-26 00:10:00 -0700,0
2019-08-26 00:15:00 -0700,0
2019-08-26 00:20:00 -0700,0
2019-08-26 00:25:00 -0700,0
2019-08-26 00:30:00 -0700,0
2019-08-26 00:35:00 -0700,0
