Name,
Address,
Account Number,
Service,

TYPE,DATE,USAGE,UNITS,COST,NOTES
Natural gas usage,2019-05-08,1.03,therms,$1.35,
Natural gas usage,2019-05-09,1.03,therms,$1.35,
Natural gas usage,2019-05-10,1.03,therms,$1.35,
Natural gas usage,2019-05-11,1.03,therms,$1.35,
Natural gas usage,2019-05-12,1.03,therms,$1.35,
Natural gas usage,2019-05-13,0.00,therms,$0.00,
Natural gas usage,2019-05-14,2.07,therms,$2.71,
Natural gas usage,2019-05-15,2.07,therms,$2.71,
Natural gas usage,2019-05-16,3.11,therms,$4.07,
Natural gas usage,2019-05-17,1.04,therms,$1.36,
Natural gas usage,2019-05-18,3.11,therms,$5.16,
Natural gas usage,2019-05-19,2.07,therms,$3.95,
Natural gas usage,2019-05-20,3.11,therms,$5.93,
Natural gas usage,2019-05-21,3.11,therms,$5.93,
Natural gas usage,2019-05-22,0.00,therms,$0.00,
Natural gas usage,2019-05-23,1.04,therms,$1.98,
Natural gas usage,2019-05-24,1.04,therms,$1.98,
Natural gas usage,2019-05-25,1.04,therms,$1.98,
Natural gas usage,2019-05-26,2.07,therms,$3.95,
Natural gas usage,2019-05-27,1.04,therms,$1.98,
Natural gas usage,2019-05-28,1.03,therms,$1.96,
Natural gas usage,2019-05-29,1.03,therms,$1.96,
Natural gas usage,2019-05-30,1.03,therms,$1.96,
Natural gas usage,2019-05-31,1.03,therms,$1.96,
Natural gas usage,2019-06-01,0.00,therms,$0.00,
Natural gas usage,2019-06-02,1.03,therms,$1.33,
Natural gas usage,2019-06-03,1.03,therms,$1.34,
Natural gas usage,2019-06-04,1.03,therms,$1.42,
Natural gas usage,2019-06-05,0.00,therms,$0.00,
Natural gas usage,2019-06-06,1.03,therms,$1.34,
Natural gas usage,2019-06-07,1.03,therms,$1.34,
Natural gas usage,2019-06-08,0.00,therms,$0.00,
Natural gas usage,2019-06-09,1.03,therms,$1.34,
Natural gas usage,2019-06-10,1.03,therms,$1.34,
Natural gas usage,2019-06-11,0.00,therms,$0.00,
Natural gas usage,2019-06-12,1.03,therms,$1.34,
Natural gas usage,2019-06-13,0.00,therms,$0.00,
Natural gas usage,2019-06-14,1.03,therms,$1.34,
Natural gas usage,2019-06-15,1.03,therms,$1.34,
Natural gas usage,2019-06-16,1.03,therms,$1.34,
Natural gas usage,2019-06-17,0.00,therms,$0.00,
Natural gas usage,2019-06-18,1.03,therms,$1.34,
Natural gas usage,2019-06-19,1.03,therms,$1.34,
Natural gas usage,2019-06-20,1.03,therms,$1.34,
Natural gas usage,2019-06-21,0.00,therms,$0.00,
Natural gas usage,2019-06-22,1.03,therms,$1.34,
Natural gas usage,2019-06-23,0.00,therms,$0.00,
Natural gas usage,2019-06-24,1.03,therms,$1.34,
Natural gas usage,2019-06-25,0.00,therms,$0.00,
Natural gas usage,2019-06-26,1.03,therms,$1.34,
Natural gas usage,2019-06-27,1.03,therms,$1.79,
Natural gas usage,2019-06-28,0.00,therms,$0.00,
Natural gas usage,2019-06-29,1.03,therms,$1.96,
Natural gas usage,2019-06-30,1.03,therms,$1.96,
Natural gas usage,2019-07-01,0.00,therms,$0.00,
Natural gas usage,2019-07-02,1.04,therms,$1.42,
Natural gas usage,2019-07-03,1.04,therms,$1.42,
Natural gas usage,2019-07-04,0.00,therms,$0.00,
Natural gas usage,2019-07-05,1.04,therms,$1.52,
Natural gas usage,2019-07-06,0.00,therms,$0.00,
Natural gas usage,2019-07-07,1.04,therms,$1.42,
Natural gas usage,2019-07-08,1.04,therms,$1.42,
Natural gas usage,2019-07-09,0.00,therms,$0.00,
Natural gas usage,2019-07-10,1.04,therms,$1.42,
Natural gas usage,2019-07-11,1.04,therms,$1.42,
Natural gas usage,2019-07-12,0.00,therms,$0.00,
Natural gas usage,2019-07-13,1.04,therms,$1.42,
Natural gas usage,2019-07-14,1.04,therms,$1.42,
Natural gas usage,2019-07-15,0.00,therms,$0.00,
Natural gas usage,2019-07-16,1.04,therms,$1.42,
Natural gas usage,2019-07-17,1.04,therms,$1.42,
Natural gas usage,2019-07-18,0.00,therms,$0.00,
Natural gas usage,2019-07-19,1.04,therms,$1.42,
Natural gas usage,2019-07-20,0.00,therms,$0.00,
Natural gas usage,2019-07-21,1.04,therms,$1.42,
Natural gas usage,2019-07-22,0.00,therms,$0.00,
Natural gas usage,2019-07-23,1.03,therms,$1.42,
Natural gas usage,2019-07-24,0.00,therms,$0.00,
Natural gas usage,2019-07-25,1.03,therms,$1.42,
Natural gas usage,2019-07-26,0.00,therms,$0.00,
Natural gas usage,2019-07-27,1.03,therms,$1.42,
Natural gas usage,2019-07-28,1.03,therms,$1.42,
Natural gas usage,2019-07-29,0.00,therms,$0.00,
Natural gas usage,2019-07-30,1.04,therms,$1.54,
Natural gas usage,2019-07-31,0.00,therms,$0.00,
Natural gas usage,2019-08-01,1.04,therms,$1.41,
Natural gas usage,2019-08-02,1.04,therms,$1.41,
Natural gas usage,2019-08-03,0.00,therms,$0.00,
Natural gas usage,2019-08-04,0.00,therms,$0.00,
